;6001-A[10];6002-A[10];6005-A[5];6006-A[40];6007-A[5];6016-A[4];6018-A[2];6019-A[40];6020-A[5];6023-A[10];6026-A[10];6029-A[20];6030-A[20];6033-A[20];6105-1 F[40];6105-2 F[50];6105-3 F[50];6105-4 F[50];6107-2 F[50];6134-F[57];6142-F[40];6145-2 F[40];6058[60];6016[50];6032[50];6096[50];6038[40];6005[50];6050[50];6058[50];6107-2[50];6131[50];6015[50];6053[50];6118[40];6093[50];V1;V2;V3;V4;
TERN5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];21[50] [1_4];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
TERN6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAM1;0[0];0[0];0[0];34[40] [1_5];0[0];0[0];0[0];102[40] [1_7];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];41[50] [1_1];112[50] [1_3];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];44[50];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAM2;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAM3;0[0];0[0];0[0];24[40] [1_5];0[0];0[0];0[0];58[40] [1_7];0[0];0[0];0[0];0[0];0[0];0[0];61[40] [1_3];0[0];0[0];23[50] [1_4];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];75[50] [1_1];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAM4;0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAM5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];88[40] [1_2];0[0];0[0];26[50] [1_7];2[50] [1_1];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAM6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];-1[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAT1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAT2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAT3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAT4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAT5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAT6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAN1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];38[50] [1_2];0[0];0[0];79[40] [1_1];0[0];0[0];0[0];0[0];108[30] [1_6];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAN2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAN3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];53[40] [1_4];0[0];0[0];0[0];104[20] [1_8];0[0];110[20];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];37[40] [1_6];0[0];8[50];0[0];5[50] [1_2];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAN4;0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];-1[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];-1[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAN5;0[0];0[0];0[0];0[0];0[0];0[0];0[0];55[40] [1_4];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];29[50] [1_7];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUAN6;0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIM1;0[0];0[0];0[0];0[0];0[0];0[0];0[0];14[40] [1_2];0[0];0[0];0[0];0[0];0[0];0[0];100[40] [1_5];67[50] [1_7];0[0];0[0];0[0];0[0];0[0];0[0];92[60] [1_1];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];51[50] [1_3];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIM2;0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];-1[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
QUIM3;0[0];0[0];0[0];0[0];0[0];0[0];0[0];17[40] [1_3];0[0];0[0];0[0];0[0];0[0];0[0];59[40] [1_7];0[0];0[0];106[40] [1_5];78[50] [1_1];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];0[0];
