It;T;Melhor;Corrente
493;5;391629;391629
494;5;391629;391629
495;5;391629;391635
496;5;391629;391635
497;5;391629;391635
498;5;391629;391635
499;5;391629;391638
500;5;391629;391638
501;5;391629;391638
502;5;391629;391638
503;5;391629;391638
504;5;391629;391638
505;5;391629;391638
506;5;391629;391638
507;5;391629;391638
508;5;391629;391638
509;5;391629;391638
510;5;391629;391638
511;5;391629;391638
512;5;391629;391638
513;5;391629;391638
514;5;391629;391638
515;5;391629;391638
516;5;391629;391638
517;5;391629;391638
518;5;391629;391638
519;5;391629;391638
520;5;391629;391638
521;5;391629;391638
522;5;391629;391638
523;5;391629;391638
524;5;391629;391638
525;5;391629;391638
526;5;391629;391638
527;5;391629;391638
528;5;391629;391638
529;5;391629;391638
530;5;391629;391638
531;5;391629;391638
532;5;391629;391638
533;5;391629;391638
534;5;391629;391638
535;5;391629;391638
536;5;391629;391638
537;5;391629;391638
538;5;391629;391638
539;5;391629;391638
540;5;391629;391638
541;5;391629;391638
542;5;391629;391638
543;5;391629;391638
544;5;391629;391638
545;5;391629;391638
546;5;391629;391638
547;5;391629;391638
548;5;391629;391638
549;5;391629;391638
550;5;391629;391638
551;5;391629;391638
552;5;391629;391638
553;5;391629;391638
554;5;391629;391638
555;5;391629;391638
556;5;391629;391638
557;5;391629;391638
558;5;391629;391638
559;5;391629;391638
560;5;391629;391638
561;5;391629;391638
562;5;391629;391638
563;5;391629;391638
564;5;391629;391638
565;5;391629;391638
566;5;391629;391638
567;5;391629;391638
568;5;391629;391638
569;5;391629;391638
570;5;391629;391638
571;5;391629;391638
572;5;391629;391638
573;5;391629;391638
574;5;391629;391638
575;5;391629;391638
576;5;391629;391638
577;5;391629;391638
578;5;391629;391638
579;5;391629;391638
580;5;391629;391638
581;5;391629;391638
582;5;391629;391638
583;5;391629;391638
584;5;391629;391638
585;5;391629;391638
586;5;391629;391638
587;5;391629;391638
588;5;391629;391638
589;5;391629;391638
590;5;391629;391638
591;5;391629;391638
592;5;341683;341683
593;5;341683;341683
594;5;341683;341683
595;5;341683;341683
596;5;341683;341683
597;5;341683;341683
598;5;321683;321683
599;5;321683;321683
600;5;321683;321683
601;5;321683;321683
602;5;321683;321683
603;5;321683;321683
604;5;321683;321683
605;5;321683;321683
606;5;321683;321683
607;5;321683;321683
608;5;321683;321683
609;5;321683;321683
610;5;321683;321683
611;5;321683;321683
612;5;321683;321683
613;5;321683;321683
614;5;321683;321683
615;5;321683;321683
616;5;321683;321683
617;5;321683;321683
618;5;321683;321683
619;5;321683;321683
620;5;321683;321683
621;5;321683;321683
622;5;321683;321683
623;5;321683;321683
624;5;321683;321683
625;5;321683;321683
626;5;321683;321683
627;5;321683;321683
628;5;321653;321653
629;5;321653;321653
630;5;321653;321653
631;5;321653;321653
632;5;321653;321653
633;5;321653;321653
634;5;321653;321653
635;5;321653;321653
636;5;321653;321653
637;5;321653;321653
638;5;321653;321653
639;5;321653;321653
640;5;321653;321653
641;5;321653;321653
642;5;321653;321653
643;5;321653;321653
644;5;321653;321653
645;5;321653;321653
646;5;321653;321653
647;5;321653;321653
648;5;321653;321653
649;5;321653;321653
650;5;321653;321653
651;5;321653;321653
652;5;321653;321653
653;5;321653;321653
654;5;321653;321653
655;5;321653;321653
656;5;321653;321653
657;5;321653;321653
658;5;321653;321653
659;5;321653;321653
660;5;321653;321653
661;5;321653;321653
662;5;321653;321653
663;5;321653;321653
664;5;321653;321653
665;5;321653;321653
666;5;321653;321653
667;5;321653;321653
668;5;321653;321653
669;5;321653;321653
670;5;321653;321653
671;5;321653;321653
672;5;321653;321653
673;5;321653;321653
674;5;321653;321653
675;5;321653;321653
676;5;321653;321653
677;5;321653;321653
678;5;321653;321653
679;5;321653;321653
680;5;321653;321653
681;5;321653;321653
682;5;321653;321653
683;5;321653;321653
684;5;321653;321653
685;5;321653;321653
686;5;321653;321653
687;5;321653;321653
688;5;321653;321653
689;5;321653;321653
690;5;321653;321653
691;5;321653;321653
692;5;321653;321653
693;5;321653;321653
694;5;321653;321653
695;5;321653;321653
696;5;321653;321653
697;5;321653;321653
698;5;321653;321653
699;5;321653;321653
